82,"Bynum, Freddie",Baltimore Orioles,SS,390000.00,a,0
83,"Cherry, Rocky",Baltimore Orioles,P,390000.00,a,0
84,"Fahey, Brandon",Baltimore Orioles,SS,390000.00,a,0
85,"Hernandez, Luis",Baltimore Orioles,SS,390000.00,a,0
86,"Hoey, James",Baltimore Orioles,P,390000.00,a,0
87,"Jones, Adam",Baltimore Orioles,OF,390000.00,a,0
88,"Moore, Scott",Baltimore Orioles,3B,390000.00,a,0
89,"Patton, Troy",Baltimore Orioles,P,390000.00,a,0
90,"Sarfate, Dennis",Baltimore Orioles,P,390000.00,a,0
91,"Ramirez, Manny",Boston Red Sox,OF,18929923.00,a,1
92,"Drew, JD",Boston Red Sox,OF,14000000.00,a,1
93,"Ortiz, David",Boston Red Sox,DH,13000000.00,a,1
94,"Lowell, Mike",Boston Red Sox,3B,12500000.00,a,1
95,"Varitek, Jason",Boston Red Sox,C,10442030.00,a,1
96,"Beckett, Josh",Boston Red Sox,P,10166666.00,a,1
97,"Lugo, Julio",Boston Red Sox,SS,9250000.00,a,1
98,"Matsuzaka, Daisuke",Boston Red Sox,P,8333333.00,a,1
99,"Schilling, Curt",Boston Red Sox,P,8000000.00,a,1
100,"Crisp, Coco",Boston Red Sox,OF,5083333.00,a,1
101,"Wakefield, Tim",Boston Red Sox,P,4000000.00,a,1
102,"Tavarez, Julian",Boston Red Sox,P,3850000.00,a,1
103,"Timlin, Mike",Boston Red Sox,P,3000000.00,a,1
104,"Youkilis, Kevin",Boston Red Sox,1B,3000000.00,a,1
105,"Cora, Alex",Boston Red Sox,2B,2000000.00,a,1
106,"Okajima, Hideki",Boston Red Sox,P,1275000.00,a,1
107,"Lopez, Javier",Boston Red Sox,P,840000.00,a,0
108,"Snyder, Kyle",Boston Red Sox,P,835000.00,a,0
109,"Casey, Sean",Boston Red Sox,1B,800000.00,a,0
110,"Papelbon, Jonathan",Boston Red Sox,P,775000.00,a,0
111,"Pedroia, Dustin",Boston Red Sox,2B,457000.00,a,0
112,"Lester, Jonathan",Boston Red Sox,P,421500.00,a,0
113,"Delcarmen, Manny",Boston Red Sox,P,421000.00,a,0
114,"Ellsbury, Jacoby",Boston Red Sox,OF,406000.00,a,0
115,"Corey, Bryan",Boston Red Sox,P,405000.00,a,0
116,"Aardsma, Dave",Boston Red Sox,P,403250.00,a,0
117,"Cash, Kevin",Boston Red Sox,C,400000.00,a,0
118,"Buchholz, Clay",Boston Red Sox,P,396000.00,a,0
119,"Zambrano, Carlos",Chicago Cubs,P,16000000.00,n,1
120,"Ramirez, Aramis",Chicago Cubs,3B,15000000.00,n,1
121,"Soriano, Alfonso",Chicago Cubs,OF,14000000.00,n,1
122,"Lee, Derrek",Chicago Cubs,1B,13250000.00,n,1
123,"Lilly, Ted",Chicago Cubs,P,8000000.00,n,1
124,"Dempster, Ryan",Chicago Cubs,P,7333333.00,n,1
125,"Fukudome, Kosuke",Chicago Cubs,OF,7000000.00,n,1
126,"Marquis, Jason",Chicago Cubs,P,6375000.00,n,1
127,"De Rosa, Mark",Chicago Cubs,2B,4750000.00,n,1
128,"Howry, Bobby",Chicago Cubs,P,4500000.00,n,1
129,"Wood, Kerry",Chicago Cubs,P,4200000.00,n,1
130,"Eyre, Scott",Chicago Cubs,P,3800000.00,n,1
131,"Lieber, Jon",Chicago Cubs,P,3500000.00,n,1
132,"Blanco, Henry",Chicago Cubs,C,3175000.00,n,1
133,"Johnson, Reed",Chicago Cubs,OF,1300000.00,n,1
134,"Ward, Daryle",Chicago Cubs,1B,1200000.00,n,1
135,"Wuertz, Michael",Chicago Cubs,P,860000.00,n,0
136,"Hill, Rich",Chicago Cubs,P,445000.00,n,0
137,"Marmol, Carlos",Chicago Cubs,P,430000.00,n,0
138,"Theriot, Ryan",Chicago Cubs,SS,428000.00,n,0
139,"Cedeno, Ronny",Chicago Cubs,SS,407000.00,n,0
140,"Fontenot, Mike",Chicago Cubs,2B,405000.00,n,0
141,"Pie, Felix",Chicago Cubs,OF,401500.00,n,0
142,"Guzman, Angel",Chicago Cubs,P,401000.00,n,0
143,"Soto, Geovany",Chicago Cubs,C,401000.00,n,0
144,"Hart, Kevin",Chicago Cubs,P,392500.00,n,0
145,"Pignatiello, Carmen",Chicago Cubs,P,391500.00,n,0
146,"Thome, Jim",Chicago White Sox,DH,15666666.00,a,1
147,"Buehrle, Mark",Chicago White Sox,P,14000000.00,a,1
148,"Konerko, Paul",Chicago White Sox,1B,12000000.00,a,1
149,"Vazquez, Javier",Chicago White Sox,P,11500000.00,a,1
150,"Cabrera, Orlando",Chicago White Sox,SS,10000000.00,a,1
151,"Contreras, Jose",Chicago White Sox,P,10000000.00,a,1
152,"Dye, Jermaine",Chicago White Sox,OF,9500000.00,a,1
153,"Pierzynski, AJ",Chicago White Sox,C,5850000.00,a,1
154,"Crede, Joe",Chicago White Sox,3B,5100000.00,a,1
155,"Dotel, Octavio",Chicago White Sox,P,5000000.00,a,1
156,"Uribe, Juan",Chicago White Sox,SS,4500000.00,a,1
157,"Linebrink, Scott",Chicago White Sox,P,4000000.00,a,1
158,"Swisher, Nick",Chicago White Sox,OF,3600000.00,a,1
159,"MacDougal, Mike",Chicago White Sox,P,1950000.00,a,1
160,"Hall, Toby",Chicago White Sox,C,1750000.00,a,1
161,"Ramirez, Alexei",Chicago White Sox,SS,1111666.00,a,1
162,"Ozuna, Pablo",Chicago White Sox,2B,1050000.00,a,1
163,"Thornton, Matt",Chicago White Sox,P,875000.00,a,0
164,"Jenks, Bobby",Chicago White Sox,P,550000.00,a,0
165,"Logan, Boone",Chicago White Sox,P,405000.00,a,0
166,"Danks, John",Chicago White Sox,P,400000.00,a,0
167,"Floyd, Gavin",Chicago White Sox,P,400000.00,a,0
168,"Quentin, Carlos",Chicago White Sox,OF,400000.00,a,0
169,"Owens, Jerry",Chicago White Sox,OF,397500.00,a,0
170,"Masset, Nick",Chicago White Sox,P,396000.00,a,0
171,"Anderson, Brian Nikoli",Chicago White Sox,OF,395000.00,a,0
172,"Richar, Danny",Chicago White Sox,2B,392500.00,a,0
173,"Dunn, Adam",Cincinnati Reds,OF,13000000.00,n,1
174,"Cordero, Francisco",Cincinnati Reds,P,8625000.00,n,1
175,"Griffey Jr., Ken",Cincinnati Reds,OF,8282695.00,n,1
176,"Harang, Aaron",Cincinnati Reds,P,6750000.00,n,1
177,"Gonzalez, Alex Luis",Cincinnati Reds,SS,4625000.00,n,1
178,"Arroyo, Bronson",Cincinnati Reds,P,4575000.00,n,1
179,"Weathers, David",Cincinnati Reds,P,3300000.00,n,1
180,"Affeldt, Jeremy",Cincinnati Reds,P,3000000.00,n,1
181,"Freel, Ryan",Cincinnati Reds,OF,3000000.00,n,1
182,"Patterson, Corey",Cincinnati Reds,OF,3000000.00,n,1
183,"Phillips, Brandon",Cincinnati Reds,2B,2937500.00,n,1
184,"Ross, David",Cincinnati Reds,C,2525000.00,n,1
185,"Hatteberg, Scott",Cincinnati Reds,1B,1850000.00,n,1
186,"Belisle, Matt",Cincinnati Reds,P,1250000.00,n,1
187,"Castro, Juan",Cincinnati Reds,2B,975000.00,n,0
188,"Coffey, Todd",Cincinnati Reds,P,907500.00,n,0
189,"Bako, Paul",Cincinnati Reds,C,750000.00,n,0
190,"Mercker, Kent",Cincinnati Reds,P,600000.00,n,0
191,"Lincoln, Mike",Cincinnati Reds,P,550000.00,n,0
192,"Encarnacion, Edwin",Cincinnati Reds,3B,450000.00,n,0
193,"Hopper, Norris",Cincinnati Reds,OF,402500.00,n,0
194,"Keppinger, Jeff",Cincinnati Reds,SS,402500.00,n,0
195,"Fogg, Josh",Cincinnati Reds,P,400000.00,n,0
196,"Burton, Levi",Cincinnati Reds,P,395000.00,n,0
197,"Livingston, Bobby",Cincinnati Reds,P,392500.00,n,0
198,"Volquez, Edison",Cincinnati Reds,P,392500.00,n,0
199,"Cueto, Johnny",Cincinnati Reds,P,390000.00,n,0
200,"Votto, Joey",Cincinnati Reds,1B,390000.00,n,0
201,"Sabathia, CC",Cleveland Indians,P,11000000.00,a,1
202,"Westbrook, Jake",Cleveland Indians,P,10000000.00,a,1
203,"Hafner, Travis",Cleveland Indians,DH,8050000.00,a,1
204,"Byrd, Paul",Cleveland Indians,P,7500000.00,a,1
205,"Blake, Casey",Cleveland Indians,3B,6100000.00,a,1
206,"Martinez, Victor",Cleveland Indians,C,4450000.00,a,1
207,"Borowski, Joe",Cleveland Indians,P,4000000.00,a,1
208,"Lee, Cliff",Cleveland Indians,P,4000000.00,a,1
209,"Dellucci, David",Cleveland Indians,OF,3750000.00,a,1
210,"Sizemore, Grady",Cleveland Indians,OF,3166666.00,a,1
211,"Kobayashi, Masahide",Cleveland Indians,P,3000000.00,a,1
212,"Peralta, Jhonny",Cleveland Indians,SS,2500000.00,a,1
213,"Michaels, Jason",Cleveland Indians,OF,2200000.00,a,1
214,"Carroll, Jamey",Cleveland Indians,2B,2150000.00,a,1
215,"Betancourt, Rafael",Cleveland Indians,P,2050000.00,a,1
216,"Julio, Jorge",Cleveland Indians,P,1000000.00,a,1
217,"Carmona, Fausto",Cleveland Indians,P,457800.00,a,0
218,"Garko, Ryan",Cleveland Indians,1B,420100.00,a,0
219,"Perez, Rafael",Cleveland Indians,P,406700.00,a,0
220,"Gutierrez, Franklin",Cleveland Indians,OF,404400.00,a,0
221,"Shoppach, Kelly",Cleveland Indians,C,404100.00,a,0
222,"Cabrera, Asdrubal",Cleveland Indians,SS,393300.00,a,0
223,"Lewis, Jensen",Cleveland Indians,P,393000.00,a,0
224,"Breslow, Craig",Cleveland Indians,P,392000.00,a,0
225,"Marte, Andy",Cleveland Indians,3B,391600.00,a,0
226,"Choo, Shin-soo",Cleveland Indians,OF,390400.00,a,0
227,"Helton, Todd",Colorado Rockies,1B,16600000.00,n,1
228,"Holliday, Matt",Colorado Rockies,OF,9500000.00,n,1
229,"Cook, Aaron",Colorado Rockies,P,5125000.00,n,1
230,"Fuentes, Brian",Colorado Rockies,P,5050000.00,n,1
231,"Atkins, Garrett",Colorado Rockies,3B,4387500.00,n,1
232,"Hawpe, Brad",Colorado Rockies,OF,3925000.00,n,1
233,"Vizcaino, Luis",Colorado Rockies,P,3500000.00,n,1
234,"Wells, Kip",Colorado Rockies,P,3100000.00,n,1
235,"Francis, Jeff",Colorado Rockies,P,3000000.00,n,1
236,"Torrealba, Yorvit",Colorado Rockies,C,3000000.00,n,1
237,"Herges, Matt",Colorado Rockies,P,2000000.00,n,1
238,"Taveras, Willy",Colorado Rockies,OF,1975000.00,n,1
239,"Redman, Mark",Colorado Rockies,P,1000000.00,n,1
240,"Corpas, Manuel",Colorado Rockies,P,775000.00,n,0
241,"Podsednik, Scott",Colorado Rockies,OF,750000.00,n,0
242,"Tulowitzki, Troy",Colorado Rockies,SS,750000.00,n,0
243,"Bowie, Micah",Colorado Rockies,P,650000.00,n,0
244,"Barmes, Clint",Colorado Rockies,SS,405000.00,n,0
245,"Baker, Jeff",Colorado Rockies,3B,403000.00,n,0
246,"Buchholz, Taylor",Colorado Rockies,P,399000.00,n,0
247,"Hirsh, Jason",Colorado Rockies,P,396000.00,n,0
248,"Iannetta, Chris",Colorado Rockies,C,396000.00,n,0
249,"Spilborghs, Ryan",Colorado Rockies,OF,396000.00,n,0
250,"Jimenez, Ubaldo",Colorado Rockies,P,392000.00,n,0
251,"Morales, Franklin",Colorado Rockies,P,391000.00,n,0
252,"Nix, Jayson",Colorado Rockies,2B,390000.00,n,0
253,"Ordonez, Magglio",Detroit Tigers,OF,15768174.00,a,1
